episode_id,steps,human_R_p_sum,human_R_proprio_sum,human_R_a_sum,exo_R_t_sum,exo_R_eas_sum,human_R_p_mean,human_R_proprio_mean,human_R_a_mean,exo_R_t_mean,exo_R_eas_mean
d559910150d84acb91190db045b5debf,1417,250.88660660170657,159.11125744176465,12.368980719289656,44.941119821133,24.76399197732446,0.17705476824397076,0.1122874082157831,0.008728991333302509,0.03171568089000212,0.017476352842148525
652e31b81328404a98e2a0551b3af62a,1417,252.64458548676186,163.7415271058001,11.978656564305211,46.750693990106065,24.83583320683355,0.17829540260180796,0.11555506500056463,0.008453533214047432,0.032992726880808794,0.01752705236897216
36b84b718bfd4344a7a7848415cddf98,1417,315.3115287042023,162.144259149477,12.70656998586803,41.30464447196767,24.4494546234855,0.22252048602978286,0.1144278469650508,0.008967233582122817,0.029149360954105624,0.01725437870394178
8288ef36e5ea4dc1aaaa4ef438dacd01,1417,313.55002881212334,161.99658398873197,12.698424256890972,40.96302343168965,24.046258157669055,0.22127736683988944,0.11432363019670569,0.008961485008391652,0.028908273416859316,0.016969836385087547
884225df14f443c599823cb66483af06,1417,250.99237668916876,157.8622966502657,12.140486564917794,42.28453176186477,21.017898691668456,0.17712941191896173,0.1114059962246053,0.00856773928363994,0.02984088338875425,0.014832673741473857
e9a6ee86bbe54951a2bf7322c759bb98,1417,253.28060576647027,154.86595691434,12.485726291269787,43.63239046383689,26.216973455994776,0.1787442524816304,0.10929143042649259,0.00881138058664064,0.030792089247591314,0.01850174555821791
3c5f68fc026a4089877894dc9d2b3ac9,1417,314.68471218645254,158.69161322805388,12.431585491771349,40.46557894156413,25.101168862091217,0.22207813139481478,0.1119912584531079,0.008773172541828756,0.02855721873081449,0.017714304066401707
6301a369638e4b6e8194fa2655d97b34,1417,313.3500785635034,162.74138480836405,12.493190668250001,42.73752134341107,25.22411396283137,0.2211362586898401,0.1148492482768977,0.008816648319160198,0.03016056552110873,0.017801068428250792
b8eb36e2de454897b2046c5b010da45f,1417,312.7747258913874,158.25659796602716,12.46529329228715,43.75985466193231,23.55884559856421,0.22073022292970176,0.11168426109105657,0.008796960686158891,0.030882042810114543,0.01662586139630502
19c4983c7068416c96029ee5aa56d1ba,1417,313.7252870377815,160.6210291786078,12.618899044319091,40.37632738175939,24.504643386050816,0.2214010494268042,0.1133528787428425,0.008905362769455957,0.028494232450077196,0.0172933263133739
a821d957dd1d4017b297f6639e00a1e5,1417,252.87601071168456,159.9770993389624,12.243615021161217,43.10975721696764,23.389578715266325,0.17845872315574068,0.11289844695763049,0.00864051871641582,0.030423258445284148,0.016506406997365084
3ea85688ec584acfa259522c0bbca01c,1417,251.68854873230785,158.603241164293,12.300094331675165,46.99010836826652,19.322882091572822,0.17762071187883405,0.11192889284706634,0.008680377086573864,0.03316168551042097,0.013636472894546805
01bd533e1ae84dd481a557cb589f7c34,1417,249.0291550622665,169.44633433890914,12.548339192065264,47.681646930119854,23.366636934453226,0.1757439344123264,0.11958104046500292,0.008855567531450432,0.033649715547014715,0.0164902166086473
0e008545b54d4c25a2b6fb58bf290543,1417,248.90815336187788,163.9984619529673,12.479841865792753,45.39808357469848,23.81451672191572,0.1756585415397868,0.11573638811077437,0.00880722785165332,0.03203816766033767,0.01680629267601674
e55f45be239f467f91105eaf63b30661,1417,311.9309507624806,164.58490701996698,13.200292748986444,46.26885840322134,26.689589585953673,0.2201347570659708,0.11615025195481085,0.009315661784746961,0.03265268765223806,0.018835278465740065
af851b11189f42ada8e33509d7071d89,1417,311.92127865871083,162.18852948659048,12.970953571530012,42.66464631537614,26.065399449987872,0.22012793130466538,0.1144590892636489,0.009153813388518004,0.030109136425812377,0.01839477731121233
af792d4c103e44d7ac62f35237df1903,1417,249.81187366162084,166.32807062996494,12.312649793743907,41.152733708176065,25.31279691028905,0.17629631168780582,0.11738043093152077,0.008689237680835502,0.029042155051641542,0.017863653429985218
290b644bf1464d638b16b28e3eda6cf9,1417,249.80972968140293,165.79925628832993,12.565020227082407,46.309179345914394,24.407231393477694,0.17629479864601477,0.11700723802987292,0.008867339609797041,0.03268114279881044,0.017224581082200208
15a8ed6f0c2840e7bc0a114bd8ea4891,1417,312.3605775138435,160.9209361070867,13.218228092763475,41.59734746976699,27.73663916184421,0.2204379516682029,0.11356452795136676,0.009328319049233222,0.029355926231310506,0.01957419842049697
096d1bb1e1f64d8daf6c64f9023ac723,1417,311.89300895644016,166.381281369861,13.309531046188011,43.038330840494126,25.770835534381604,0.22010798091491895,0.11741798261810939,0.009392753031889916,0.030372851687010673,0.018186898753974313
